MODE, N, BUBBLE, QUICK, MERGE, HEAP, INSERTION, COUNTING
REVERSE, 2000, 0.0, 7.152557373046875e-07, 0.0, 0.0, 0.0, 9.5367431640625e-07
REVERSE, 3000, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 1.1920928955078125e-06, 0.0, 2.9802322387695312e-05
REVERSE, 4000, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 0.0, 0.0, 5.888938903808594e-05
REVERSE, 5000, 9.5367431640625e-07, 1.1920928955078125e-06, 9.5367431640625e-07, 9.5367431640625e-07, 9.5367431640625e-07, 8.487701416015625e-05
REVERSE, 6000, 1.1920928955078125e-06, 9.5367431640625e-07, 2.1457672119140625e-06, 9.5367431640625e-07, 0.0, 0.00011610984802246094
REVERSE, 7000, 9.5367431640625e-07, 2.1457672119140625e-06, 1.6689300537109375e-06, 1.1920928955078125e-06, 0.0, 0.00013709068298339844
REVERSE, 8000, 9.5367431640625e-07, 1.9073486328125e-06, 2.1457672119140625e-06, 1.9073486328125e-06, 9.5367431640625e-07, 0.00016307830810546875
REVERSE, 9000, 2.1457672119140625e-06, 1.9073486328125e-06, 2.86102294921875e-06, 2.1457672119140625e-06, 1.9073486328125e-06, 0.0002079010009765625
REVERSE, 10000, 2.1457672119140625e-06, 3.0994415283203125e-06, 2.6226043701171875e-06, 3.0994415283203125e-06, 2.1457672119140625e-06, 0.00023984909057617188
REVERSE, 11000, 3.0994415283203125e-06, 2.86102294921875e-06, 2.86102294921875e-06, 3.0994415283203125e-06, 1.1920928955078125e-06, 0.0002789497375488281
REVERSE, 12000, 3.0994415283203125e-06, 3.0994415283203125e-06, 4.0531158447265625e-06, 3.814697265625e-06, 2.1457672119140625e-06, 0.0003330707550048828
REVERSE, 13000, 3.0994415283203125e-06, 3.814697265625e-06, 4.0531158447265625e-06, 4.0531158447265625e-06, 1.9073486328125e-06, 0.0003180503845214844
REVERSE, 14000, 4.0531158447265625e-06, 2.86102294921875e-06, 4.0531158447265625e-06, 5.245208740234375e-06, 1.6689300537109375e-06, 0.00034499168395996094
REVERSE, 15000, 3.814697265625e-06, 4.0531158447265625e-06, 5.0067901611328125e-06, 5.0067901611328125e-06, 3.0994415283203125e-06, 0.0004069805145263672
REVERSE, 16000, 5.245208740234375e-06, 4.76837158203125e-06, 6.198883056640625e-06, 3.814697265625e-06, 3.0994415283203125e-06, 0.00040602684020996094
REVERSE, 17000, 5.7220458984375e-06, 5.245208740234375e-06, 7.867813110351562e-06, 5.9604644775390625e-06, 4.0531158447265625e-06, 0.0004448890686035156
REVERSE, 18000, 6.9141387939453125e-06, 5.245208740234375e-06, 6.9141387939453125e-06, 6.198883056640625e-06, 3.814697265625e-06, 0.0004930496215820312
REVERSE, 19000, 7.867813110351562e-06, 6.198883056640625e-06, 6.9141387939453125e-06, 5.9604644775390625e-06, 5.0067901611328125e-06, 0.0004980564117431641
REVERSE, 20000, 8.106231689453125e-06, 6.198883056640625e-06, 6.9141387939453125e-06, 6.9141387939453125e-06, 5.0067901611328125e-06, 0.0005121231079101562
REVERSE, 21000, 8.821487426757812e-06, 6.9141387939453125e-06, 7.867813110351562e-06, 7.3909759521484375e-06, 5.7220458984375e-06, 0.0005800724029541016
REVERSE, 22000, 1.0013580322265625e-05, 7.867813110351562e-06, 7.867813110351562e-06, 7.152557373046875e-06, 6.9141387939453125e-06, 0.0005791187286376953
REVERSE, 23000, 9.775161743164062e-06, 8.106231689453125e-06, 7.867813110351562e-06, 8.106231689453125e-06, 7.152557373046875e-06, 0.0006296634674072266
REVERSE, 24000, 1.0967254638671875e-05, 9.059906005859375e-06, 9.059906005859375e-06, 9.059906005859375e-06, 7.867813110351562e-06, 0.0006999969482421875
REVERSE, 25000, 1.1920928955078125e-05, 9.059906005859375e-06, 8.821487426757812e-06, 9.059906005859375e-06, 8.344650268554688e-06, 0.0007238388061523438
REVERSE, 26000, 1.2159347534179688e-05, 1.0013580322265625e-05, 8.821487426757812e-06, 9.298324584960938e-06, 7.867813110351562e-06, 0.0006778240203857422
REVERSE, 27000, 1.4066696166992188e-05, 1.0967254638671875e-05, 1.0013580322265625e-05, 1.0013580322265625e-05, 1.0013580322265625e-05, 0.0008230209350585938
